Start Date,Year,Cycle,ENL,RES
1/22/2014 15:00:00,2014,02,18000,16000
1/29/2014 22:00:00,2014,03,36000,882000
2/6/2014 5:00:00,2014,04,79000,349000
2/13/2014 12:00:00,2014,05,16000,5300000
2/20/2014 19:00:00,2014,06,52000,146000
2/28/2014 2:00:00,2014,07,70000,139000
3/7/2014 9:00:00,2014,08,77000,112000
3/14/2014 16:00:00,2014,09,99000,67000
3/21/2014 23:00:00,2014,10,86000,481000
3/29/2014 6:00:00,2014,11,105000,124000
4/5/2014 13:00:00,2014,12,140000,136000
4/12/2014 20:00:00,2014,13,123000,93000
4/20/2014 3:00:00,2014,14,89000,95000
4/27/2014 10:00:00,2014,15,60000,162000
5/4/2014 17:00:00,2014,16,71000,122000
5/12/2014 0:00:00,2014,17,47000,138000
5/19/2014 7:00:00,2014,18,61000,680000
5/26/2014 14:00:00,2014,19,28000,2000000
6/2/2014 21:00:00,2014,20,43000,194000
6/10/2014 4:00:00,2014,21,69000,121000
6/17/2014 11:00:00,2014,22,111000,139000
6/24/2014 18:00:00,2014,23,72000,265000
7/2/2014 1:00:00,2014,24,66000,197000
7/9/2014 8:00:00,2014,25,74000,145000
7/16/2014 15:00:00,2014,26,59000,560000
7/23/2014 22:00:00,2014,27,69000,242000
7/31/2014 5:00:00,2014,28,69000,814000
8/7/2014 12:00:00,2014,29,66000,705000
8/14/2014 19:00:00,2014,30,92000,482000
8/22/2014 2:00:00,2014,31,161000,458000
8/29/2014 9:00:00,2014,32,78000,125000
9/5/2014 16:00:00,2014,33,75000,128000
9/12/2014 23:00:00,2014,34,136000,680000
9/20/2014 6:00:00,2014,35,76000,186000
9/27/2014 13:00:00,2014,36,68000,131000
10/4/2014 20:00:00,2014,37,92000,756000
10/12/2014 3:00:00,2014,38,48000,152000
10/19/2014 10:00:00,2014,39,33000,1100000
10/26/2014 17:00:00,2014,40,52000,142000
11/3/2014 0:00:00,2014,41,58000,101000
11/10/2014 7:00:00,2014,42,44000,108000
11/17/2014 14:00:00,2014,43,39000,1500000
11/24/2014 21:00:00,2014,44,70000,140000
12/2/2014 4:00:00,2014,45,86000,130000
12/9/2014 11:00:00,2014,46,80000,487000
12/16/2014 18:00:00,2014,47,91000,165000
12/24/2014 1:00:00,2014,48,42000,7500000
12/31/2014 8:00:00,2014,49,68000,125000
1/7/2015 15:00:00,2015,01,75000,165000
1/14/2015 22:00:00,2015,02,109000,156000
1/22/2015 5:00:00,2015,03,106000,153000
1/29/2015 12:00:00,2015,04,110000,149000
2/5/2015 19:00:00,2015,05,94000,239000
2/13/2015 2:00:00,2015,06,151000,646000
2/20/2015 9:00:00,2015,07,80000,164000
2/27/2015 16:00:00,2015,08,183000,319000
3/6/2015 23:00:00,2015,09,98000,2300000
3/14/2015 6:00:00,2015,10,78000,358000
3/21/2015 13:00:00,2015,11,106000,184000
3/28/2015 20:00:00,2015,12,148000,1600000
4/5/2015 3:00:00,2015,13,86000,481000
4/12/2015 10:00:00,2015,14,79000,338000
4/19/2015 17:00:00,2015,15,436000,493000
4/27/2015 0:00:00,2015,16,54000,2100000
5/4/2015 7:00:00,2015,17,67000,307000
5/11/2015 14:00:00,2015,18,75000,791000
5/18/2015 21:00:00,2015,19,72000,290000
5/26/2015 4:00:00,2015,20,69000,343000
6/2/2015 11:00:00,2015,21,78000,1300000
6/9/2015 18:00:00,2015,22,77000,972000
6/17/2015 1:00:00,2015,23,77000,323000
6/24/2015 8:00:00,2015,24,65000,1500000
7/1/2015 15:00:00,2015,25,94000,538000
7/8/2015 22:00:00,2015,26,77000,180000
7/16/2015 5:00:00,2015,27,70000,2800000
7/23/2015 12:00:00,2015,28,91000,970000
7/30/2015 19:00:00,2015,29,138000,1300000
8/7/2015 2:00:00,2015,30,119000,158000
8/14/2015 9:00:00,2015,31,54000,123000
8/21/2015 16:00:00,2015,32,1300000,95000
8/28/2015 23:00:00,2015,33,69000,89000
9/5/2015 6:00:00,2015,34,99000,157000
9/12/2015 13:00:00,2015,35,97000,422000
9/19/2015 20:00:00,2015,36,74000,456000
